0,1,2,3,4,5,6
1,11,12,30,34,39,43
2,6,15,18,23,33,43
2,8,20,21,29,34,37
8,27,30,44,46,47,50
1,4,8,10,12,17,41
3,10,13,19,21,45,49
4,6,12,30,32,33,34
1,4,10,12,13,26,41
1,14,18,36,45,46,47
2,4,13,15,36,40,41
2,6,11,15,29,33,34
2,21,28,32,33,37,42
2,22,32,38,40,43,50
3,4,7,14,31,38,41
3,9,11,17,31,35,49
3,10,15,18,29,48,49
3,14,20,25,26,32,34
5,10,22,39,42,47,50
5,19,22,23,26,28,47
6,7,13,23,24,26,30
6,23,26,34,41,44,46
6,27,29,30,31,45,50
14,17,19,24,27,32,40
18,20,23,25,30,40,45
18,24,28,32,37,38,41
21,27,31,34,37,42,46
4,5,9,19,28,34,44
1,2,17,22,24,28,47
1,10,17,22,29,44,48
2,5,11,14,29,33,40
5,22,23,33,36,38,39
6,9,11,25,33,34,49
6,14,22,23,26,33,34
7,12,16,28,34,41,45
8,20,23,26,33,42,46
9,13,16,26,29,30,35
10,11,15,28,41,44,48
7,12,16,26,40,45,49
4,7,18,23,30,34,44
6,7,8,10,20,30,44
6,13,16,27,28,38,45
10,11,13,23,24,31,45
14,18,35,41,44,47,50
17,21,25,26,33,42,48
4,6,9,15,22,24,28
5,6,13,16,26,29,38
8,19,23,27,36,41,48
14,16,17,18,24,48,49
18,21,25,31,34,35,49
1,7,9,28,38,48,50
3,10,13,18,20,41,48
6,9,12,13,24,29,33
8,9,37,38,40,43,49
2,11,22,25,32,40,44
1,5,6,24,27,28,32
4,15,16,17,35,46,50
6,12,19,27,30,32,44
2,5,6,16,17,47,48
2,7,17,23,26,29,31
2,12,22,27,37,42,49
2,13,15,28,33,44,47
3,5,17,18,23,28,43
3,27,36,40,42,45,48
5,10,23,30,33,39,41
10,12,19,38,41,45,47
12,17,22,28,38,49,50
7,18,22,26,35,41,50
1,5,20,32,36,37,46
2,11,28,41,46,47,49
3,4,8,14,18,36,39
3,5,7,8,26,31,39
9,16,23,39,40,45,47
12,16,17,21,30,45,50
27,29,34,35,37,45,46
2,9,29,30,31,35,37
1,5,16,23,26,29,47
2,7,17,22,28,32,48
5,9,16,31,33,38,46
7,8,11,16,31,42,43
5,8,9,28,32,48,50
1,5,13,17,23,32,39
2,14,24,27,34,38,49
1,21,34,38,39,40,46
1,2,5,11,20,30,39
1,2,16,32,44,46,50
3,22,37,39,41,43,44
9,17,22,33,36,45,46
9,21,26,28,30,37,44
18,24,25,30,31,33,48
8,16,19,22,28,31,38
1,4,5,6,10,12,31
1,5,16,18,32,39,46
1,12,15,23,26,30,33
2,4,5,27,43,45,49
2,5,10,27,32,33,38
2,9,11,12,18,22,36
2,12,17,28,32,40,50
3,11,12,20,27,40,50
4,5,6,16,40,42,46
4,5,9,14,20,22,40
4,6,13,22,27,29,41
4,7,13,19,32,37,49
4,11,13,17,27,41,49
5,10,14,21,34,35,48
5,13,15,28,42,43,48
6,7,20,25,28,33,50
6,10,16,21,27,31,32
8,9,11,18,33,38,43
11,14,17,18,28,46,47
15,20,24,25,34,36,39
17,21,34,36,38,39,45
19,20,23,30,37,42,49
7,10,11,24,39,43,48
2,4,7,9,22,24,50
2,8,10,19,26,28,31
3,5,10,34,36,38,43
4,14,21,22,26,27,39
5,13,14,26,31,37,41
6,9,11,27,40,42,49
7,15,26,39,43,46,47
9,10,21,23,34,37,47
10,22,24,27,38,42,44
12,32,35,37,40,43,50
14,19,20,24,32,33,39
15,17,22,29,35,36,37
26,30,31,35,37,38,48
17,20,27,29,37,39,41
1,8,12,15,16,32,47
1,16,19,31,37,46,49
2,7,16,40,41,44,50
3,4,10,12,16,27,49
