0,1,2,3,4,5,6
03,08,09,15,17,38,44
03,09,10,27,37,47,48
03,12,22,26,31,35,41
03,13,15,19,31,43,48
04,05,10,12,22,26,34
04,07,15,22,29,38,39
04,08,14,30,31,37,50
05,06,10,22,40,41,49
05,11,16,21,33,37,46
07,08,11,17,21,30,47
09,17,18,21,30,40,45
14,15,32,36,39,43,49
14,18,33,35,39,47,48
15,19,26,34,36,39,44
15,27,29,30,33,44,49
05,07,22,29,32,37,39
01,02,07,15,23,45,48
01,03,20,35,39,44,48
01,07,12,13,21,24,50
01,17,20,31,32,41,43
02,05,06,10,19,40,42
02,11,13,17,30,39,42
03,08,10,20,26,28,41
03,10,12,14,36,41,42
04,16,22,31,37,39,48
05,07,17,23,38,39,41
06,11,29,30,36,40,48
06,12,19,20,27,30,36
08,12,16,24,25,26,28
13,15,24,30,33,35,38
20,21,28,38,39,41,43
03,04,13,14,30,36,41
01,07,12,20,24,31,32
01,09,10,13,44,45,46
03,21,22,24,36,37,39
04,05,14,24,29,33,47
05,06,08,12,18,29,48
